L1,L2,t,d,Secilen_Stress,Secilen_Displacement,Secilen_Kaynak,Kayit_Sayisi,Tum_Kaynaklar
80.0,30.0,12.0,18.0,2.7331,0.03593,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7331, D=0.03593"
80.0,30.0,12.0,24.0,2.8522,0.03895,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8522, D=0.03895"
80.0,45.0,4.0,12.0,22.92,0.09639,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.92, D=0.09639"
80.0,45.0,4.0,15.0,22.691,0.09775,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.691, D=0.09775"
80.0,45.0,4.0,18.0,22.598,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.598, D=0.0996"
80.0,45.0,4.0,21.0,22.488,0.10202,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.488, D=0.10202"
80.0,45.0,6.0,12.0,9.9226,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9226, D=0.0281"
80.0,45.0,6.0,15.0,9.9046,0.02856,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.9067, D=0.02857 | L_braket_6(1).csv: S=9.9046, D=0.02856"
80.0,45.0,6.0,18.0,9.7957,0.02918,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7999, D=0.02919 | L_braket_6(1).csv: S=9.7957, D=0.02918"
80.0,45.0,6.0,21.0,9.7407,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.749, D=0.02997 | L_braket_6(1).csv: S=9.7407, D=0.02998"
80.0,45.0,8.0,12.0,6.1675,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1675, D=0.01172"
80.0,45.0,8.0,15.0,5.9764,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9764, D=0.01194 | L_braket_6(1).csv: S=5.9764, D=0.01194"
80.0,45.0,8.0,18.0,5.9728,0.01222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9728, D=0.01222 | L_braket_6(1).csv: S=5.9728, D=0.01222"
80.0,45.0,8.0,21.0,6.0183,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0183, D=0.0126 | L_braket_6(1).csv: S=6.0183, D=0.0126"
80.0,45.0,10.0,12.0,4.1306,0.005944,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.1306, D=0.005944"
80.0,45.0,10.0,15.0,4.0444,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.109, D=0.006064 | L_braket_6(1).csv: S=4.0444, D=0.006064"
80.0,45.0,10.0,18.0,4.0494,0.00622,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9813, D=0.006221 | L_braket_6(1).csv: S=4.0494, D=0.00622"
80.0,45.0,10.0,21.0,4.0916,0.006425,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1028, D=0.006427 | L_braket_6(1).csv: S=4.0916, D=0.006425"
80.0,50.0,6.0,15.0,9.6451,0.03102,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6451, D=0.03102"
80.0,50.0,8.0,15.0,6.0716,0.01308,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.0716, D=0.01308"
80.0,50.0,10.0,15.0,3.9508,0.006697,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9508, D=0.006697"
80.0,55.0,6.0,15.0,9.6949,0.03101,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6949, D=0.03101"
80.0,55.0,8.0,15.0,6.1364,0.01307,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.1364, D=0.01307"
80.0,55.0,10.0,15.0,3.9628,0.006699,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9628, D=0.006699"
80.0,60.0,4.0,12.0,22.753,0.09634,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=22.753, D=0.09634000000000001 | L_braket_6(1).csv: S=22.753, D=0.09634"
80.0,60.0,4.0,15.0,22.769,0.09767,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.769, D=0.09767"
80.0,60.0,4.0,18.0,22.517,0.0995,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=22.517, D=9.95 | L_braket_6(1).csv: S=22.517, D=0.0995"
80.0,60.0,4.0,21.0,22.434,0.10194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.434, D=0.10194"
80.0,60.0,4.0,24.0,22.288,0.10512,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.288, D=0.10512"
80.0,60.0,6.0,12.0,9.8987,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8987, D=0.02811"
80.0,60.0,6.0,15.0,9.8446,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8758, D=0.02857 | L_braket_6(1).csv: S=9.8446, D=0.02857"
80.0,60.0,6.0,18.0,9.7275,0.02917,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7787, D=0.02918 | L_braket_6(1).csv: S=9.7275, D=0.02917"
80.0,60.0,6.0,21.0,9.7424,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.755, D=0.02998 | L_braket_6(1).csv: S=9.7424, D=0.02998"
80.0,60.0,8.0,12.0,6.0172,0.01173,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.0172, D=0.01173 | L_braket_6(1).csv: S=6.0172, D=0.01173"
80.0,60.0,8.0,15.0,5.9697,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9697, D=0.01194 | L_braket_6(1).csv: S=5.9697, D=0.01194"
80.0,60.0,8.0,18.0,5.9488,0.01222,l_braket_4.csv,4,"L_Braket_Sonuclar.csv: S=6.2528, D=0.01222 | l_Braket_2.csv: S=6.2528, D=0.01222 | L_braket_6(1).csv: S=6.2528, D=0.01222 | l_braket_4.csv: S=5.9488, D=0.01222"
80.0,60.0,8.0,21.0,6.0799,0.01259,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0799, D=0.01259 | L_braket_6(1).csv: S=6.0799, D=0.01259"
80.0,60.0,8.0,24.0,6.0313,0.01306,l_braket_4.csv,3,"L_Braket_Sonuclar.csv: S=6.0365, D=0.01307 | L_Braket_Sonuclar.csv: S=6.2679, D=0.01307 | l_braket_4.csv: S=6.0313, D=0.01306"
80.0,60.0,10.0,12.0,3.9888,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9888, D=0.005947"
80.0,60.0,10.0,15.0,3.9959,0.006068,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9913, D=0.006066 | L_braket_6(1).csv: S=3.9959, D=0.006068"
80.0,60.0,10.0,18.0,3.9539,0.006225,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9727, D=0.006224 | L_braket_6(1).csv: S=3.9539, D=0.006225"
80.0,60.0,10.0,21.0,3.9274,0.006432,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9644, D=0.006432 | L_braket_6(1).csv: S=3.9274, D=0.006432"
80.0,60.0,12.0,12.0,2.839,0.03407,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.839, D=0.03407"
80.0,60.0,12.0,18.0,2.891,0.003582,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.7836, D=0.03581 | l_braket_4.csv: S=2.891, D=0.003582"
80.0,60.0,12.0,24.0,2.8091,0.003884,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.83, D=0.03883 | l_braket_4.csv: S=2.8091, D=0.003884"
80.0,75.0,4.0,12.0,22.933,0.0964,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.933, D=0.0964"
80.0,75.0,4.0,15.0,22.718,0.09778,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.718, D=0.09778"
80.0,75.0,4.0,18.0,22.698,0.09966,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.698, D=0.09966"
80.0,75.0,4.0,21.0,22.61,0.10207,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.61, D=0.10207"
80.0,75.0,6.0,12.0,9.8741,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8741, D=0.0281"
80.0,75.0,6.0,15.0,9.8157,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8161, D=0.02857 | L_braket_6(1).csv: S=9.8157, D=0.02857"
80.0,75.0,6.0,18.0,9.8053,0.02919,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8028, D=0.02918 | L_braket_6(1).csv: S=9.8053, D=0.02919"
80.0,75.0,6.0,21.0,9.7259,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7255, D=0.02998 | L_braket_6(1).csv: S=9.7259, D=0.02998"
80.0,75.0,8.0,12.0,6.2505,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.2505, D=0.01173"
80.0,75.0,8.0,15.0,6.0255,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0255, D=0.01194 | L_braket_6(1).csv: S=6.0255, D=0.01194"
80.0,75.0,8.0,18.0,6.0468,0.01223,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0468, D=0.01223 | L_braket_6(1).csv: S=6.0468, D=0.01223"
80.0,75.0,8.0,21.0,5.9551,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9551, D=0.0126 | L_braket_6(1).csv: S=5.9551, D=0.0126"
80.0,75.0,10.0,12.0,3.9848,0.005946,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9848, D=0.005946"
80.0,75.0,10.0,15.0,4.1279,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1251, D=0.006064 | L_braket_6(1).csv: S=4.1279, D=0.006064"
80.0,75.0,10.0,18.0,3.9722,0.006222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9814, D=0.006222 | L_braket_6(1).csv: S=3.9722, D=0.006222"
80.0,75.0,10.0,21.0,3.9535,0.006431,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9484, D=0.006431 | L_braket_6(1).csv: S=3.9535, D=0.006431"
80.0,90.0,4.0,12.0,22.706,0.09638,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.706, D=0.09638"
80.0,90.0,4.0,18.0,22.638,0.09965,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.638, D=0.09965"
80.0,90.0,4.0,24.0,22.429,0.10525999999999999,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.429, D=0.10525999999999999"
80.0,90.0,8.0,12.0,6.0367,0.01173,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0367, D=0.01173"
80.0,90.0,8.0,18.0,6.0554,0.01222,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=6.173, D=0.01222 | l_braket_4.csv: S=6.0554, D=0.01222"
80.0,90.0,8.0,24.0,6.0034,0.01308,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=5.9871, D=0.01307 | l_braket_4.csv: S=6.0034, D=0.01308"
80.0,90.0,12.0,12.0,2.8972,0.03405,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8972, D=0.03405"
80.0,90.0,12.0,18.0,2.8005,0.003583,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.8367, D=0.03585 | l_braket_4.csv: S=2.8005, D=0.003583"
80.0,90.0,12.0,24.0,2.891,0.003885,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.8803, D=0.03882 | l_braket_4.csv: S=2.891, D=0.003885"
100.0,30.0,4.0,12.0,23.013,0.09645,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=23.013, D=0.09645"
100.0,30.0,4.0,15.0,22.819,0.09779,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.819, D=0.09779"
100.0,30.0,4.0,18.0,22.686,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.686, D=0.0996"
100.0,30.0,4.0,21.0,22.477,0.10204,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.477, D=0.10204"
100.0,30.0,6.0,12.0,9.9994,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9994, D=0.02811"
100.0,30.0,6.0,15.0,9.8001,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8001, D=0.02857"
100.0,30.0,6.0,18.0,9.8032,0.02919,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8032, D=0.02919"
100.0,30.0,6.0,21.0,9.7222,0.02999,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7222, D=0.02999"
100.0,30.0,8.0,12.0,6.1109,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1109, D=0.01172"
100.0,30.0,8.0,15.0,6.0156,0.01193,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0156, D=0.01193"
100.0,30.0,8.0,18.0,6.0949,0.01222,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0949, D=0.01222"
100.0,30.0,8.0,21.0,5.8024,0.01259,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.8024, D=0.01259"
100.0,30.0,10.0,12.0,4.0689,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0689, D=0.005947"
100.0,30.0,10.0,15.0,4.0349,0.006068,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0349, D=0.006068"
100.0,30.0,10.0,18.0,4.0709,0.006225,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0709, D=0.006225"
100.0,30.0,10.0,21.0,3.8899,0.006432,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.8899, D=0.006432"
100.0,45.0,4.0,12.0,22.92,0.09639,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.92, D=0.09639"
100.0,45.0,4.0,15.0,22.691,0.09775,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.691, D=0.09775"
100.0,45.0,4.0,18.0,22.598,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.598, D=0.0996"
100.0,45.0,4.0,21.0,22.488,0.10202,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.488, D=0.10202"
100.0,45.0,6.0,12.0,9.9226,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9226, D=0.0281"
100.0,45.0,6.0,15.0,9.9046,0.02856,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.9067, D=0.02857 | L_braket_6(1).csv: S=9.9046, D=0.02856"
100.0,45.0,6.0,18.0,9.7957,0.02918,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7999, D=0.02919 | L_braket_6(1).csv: S=9.7957, D=0.02918"
100.0,45.0,6.0,21.0,9.7407,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.749, D=0.02997 | L_braket_6(1).csv: S=9.7407, D=0.02998"
100.0,45.0,8.0,12.0,6.1675,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1675, D=0.01172"
100.0,45.0,8.0,15.0,5.9764,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9764, D=0.01194 | L_braket_6(1).csv: S=5.9764, D=0.01194"
100.0,45.0,8.0,18.0,5.9728,0.01222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9728, D=0.01222 | L_braket_6(1).csv: S=5.9728, D=0.01222"
100.0,45.0,8.0,21.0,6.0183,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0183, D=0.0126 | L_braket_6(1).csv: S=6.0183, D=0.0126"
100.0,45.0,10.0,12.0,4.1306,0.005944,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.1306, D=0.005944"
100.0,45.0,10.0,15.0,4.0444,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.109, D=0.006064 | L_braket_6(1).csv: S=4.0444, D=0.006064"
100.0,45.0,10.0,18.0,4.0494,0.00622,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9813, D=0.006221 | L_braket_6(1).csv: S=4.0494, D=0.00622"
100.0,45.0,10.0,21.0,4.0916,0.006425,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1028, D=0.006427 | L_braket_6(1).csv: S=4.0916, D=0.006425"
100.0,60.0,4.0,12.0,22.753,0.09634,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.753, D=0.09634"
100.0,60.0,4.0,15.0,22.769,0.09767,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.769, D=0.09767"
100.0,60.0,4.0,18.0,22.517,0.0995,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.517, D=0.0995"
100.0,60.0,4.0,21.0,22.434,0.10194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.434, D=0.10194"
100.0,60.0,6.0,12.0,9.8987,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8987, D=0.02811"
100.0,60.0,6.0,15.0,9.8446,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8758, D=0.02857 | L_braket_6(1).csv: S=9.8446, D=0.02857"
100.0,60.0,6.0,18.0,9.7275,0.02917,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7787, D=0.02918 | L_braket_6(1).csv: S=9.7275, D=0.02917"
100.0,60.0,6.0,21.0,9.7424,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.755, D=0.02998 | L_braket_6(1).csv: S=9.7424, D=0.02998"
100.0,60.0,8.0,12.0,6.0172,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0172, D=0.01173"
100.0,60.0,8.0,15.0,5.9697,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9697, D=0.01194 | L_braket_6(1).csv: S=5.9697, D=0.01194"
100.0,60.0,8.0,18.0,6.2528,0.01222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.2528, D=0.01222 | L_braket_6(1).csv: S=6.2528, D=0.01222"
100.0,60.0,8.0,21.0,6.0799,0.01259,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0799, D=0.01259 | L_braket_6(1).csv: S=6.0799, D=0.01259"
100.0,60.0,10.0,12.0,3.9888,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9888, D=0.005947"
100.0,60.0,10.0,15.0,3.9959,0.006068,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9913, D=0.006066 | L_braket_6(1).csv: S=3.9959, D=0.006068"
100.0,60.0,10.0,18.0,3.9539,0.006225,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9727, D=0.006224 | L_braket_6(1).csv: S=3.9539, D=0.006225"
100.0,60.0,10.0,21.0,3.9274,0.006432,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9644, D=0.006432 | L_braket_6(1).csv: S=3.9274, D=0.006432"
100.0,75.0,4.0,12.0,22.933,0.0964,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.933, D=0.0964"
100.0,75.0,4.0,15.0,22.718,0.09778,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.718, D=0.09778"
100.0,75.0,4.0,18.0,22.698,0.09966,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.698, D=0.09966"
100.0,75.0,4.0,21.0,22.61,0.10207,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.61, D=0.10207"
100.0,75.0,6.0,12.0,9.8741,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8741, D=0.0281"
100.0,75.0,6.0,15.0,9.8157,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8161, D=0.02857 | L_braket_6(1).csv: S=9.8157, D=0.02857"
100.0,75.0,6.0,18.0,9.8053,0.02919,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8028, D=0.02918 | L_braket_6(1).csv: S=9.8053, D=0.02919"
100.0,75.0,6.0,21.0,9.7259,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7255, D=0.02998 | L_braket_6(1).csv: S=9.7259, D=0.02998"
100.0,75.0,8.0,12.0,6.2505,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.2505, D=0.01173"
100.0,75.0,8.0,15.0,6.0255,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0255, D=0.01194 | L_braket_6(1).csv: S=6.0255, D=0.01194"
100.0,75.0,8.0,18.0,6.0468,0.01223,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0468, D=0.01223 | L_braket_6(1).csv: S=6.0468, D=0.01223"
100.0,75.0,8.0,21.0,5.9551,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9551, D=0.0126 | L_braket_6(1).csv: S=5.9551, D=0.0126"
100.0,75.0,10.0,12.0,3.9848,0.005946,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9848, D=0.005946"
100.0,75.0,10.0,15.0,4.1279,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1251, D=0.006064 | L_braket_6(1).csv: S=4.1279, D=0.006064"
100.0,75.0,10.0,18.0,3.9722,0.006222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9814, D=0.006222 | L_braket_6(1).csv: S=3.9722, D=0.006222"
100.0,75.0,10.0,21.0,3.9535,0.006431,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9484, D=0.006431 | L_braket_6(1).csv: S=3.9535, D=0.006431"
120.0,30.0,4.0,12.0,23.013,0.09645,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=23.013, D=0.09645"
120.0,30.0,4.0,18.0,22.686,9.96,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.686, D=9.96"
120.0,30.0,4.0,24.0,22.383,0.10522000000000001,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.383, D=0.10522000000000001"
120.0,30.0,8.0,12.0,6.1109,0.01172,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.1109, D=0.01172"
120.0,30.0,8.0,18.0,6.0949,0.01222,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0949, D=0.01222"
120.0,30.0,8.0,24.0,6.0249,0.01306,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0249, D=0.01306"
120.0,30.0,12.0,12.0,2.7568,0.03417,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7568, D=0.03417"
120.0,30.0,12.0,18.0,2.7331,0.03593,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7331, D=0.03593"
120.0,30.0,12.0,24.0,2.8522,0.03895,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8522, D=0.03895"
120.0,60.0,4.0,12.0,22.753,0.09634000000000001,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.753, D=0.09634000000000001"
120.0,60.0,4.0,18.0,22.517,9.95,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.517, D=9.95"
120.0,60.0,4.0,24.0,22.288,0.10512,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.288, D=0.10512"
120.0,60.0,8.0,12.0,6.0172,0.01173,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0172, D=0.01173"
120.0,60.0,8.0,18.0,5.9488,0.01222,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=6.2528, D=0.01222 | l_braket_4.csv: S=5.9488, D=0.01222"
120.0,60.0,8.0,24.0,6.0313,0.01306,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=6.2679, D=0.01307 | l_braket_4.csv: S=6.0313, D=0.01306"
120.0,60.0,12.0,12.0,2.839,0.03407,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.839, D=0.03407"
120.0,60.0,12.0,18.0,2.891,0.003582,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.7836, D=0.03581 | l_braket_4.csv: S=2.891, D=0.003582"
120.0,60.0,12.0,24.0,2.8091,0.003884,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.83, D=0.03883 | l_braket_4.csv: S=2.8091, D=0.003884"
120.0,90.0,4.0,12.0,22.706,0.09638,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.706, D=0.09638"
120.0,90.0,4.0,18.0,22.638,0.09965,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.638, D=0.09965"
120.0,90.0,4.0,24.0,22.429,0.10525999999999999,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.429, D=0.10525999999999999"
120.0,90.0,8.0,12.0,6.0367,0.01173,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0367, D=0.01173"
120.0,90.0,8.0,18.0,6.0554,0.01222,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=6.173, D=0.01222 | l_braket_4.csv: S=6.0554, D=0.01222"
120.0,90.0,8.0,24.0,6.0034,0.01308,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=5.9871, D=0.01307 | l_braket_4.csv: S=6.0034, D=0.01308"
120.0,90.0,12.0,12.0,2.8972,0.03405,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8972, D=0.03405"
120.0,90.0,12.0,18.0,2.8005,0.003583,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.8367, D=0.03585 | l_braket_4.csv: S=2.8005, D=0.003583"
120.0,90.0,12.0,24.0,2.891,0.003885,l_braket_4.csv,2,"L_Braket_Sonuclar.csv: S=2.8803, D=0.03882 | l_braket_4.csv: S=2.891, D=0.003885"
