L1,L2,t,d,Secilen_Stress,Secilen_Displacement,Secilen_Kaynak,Kayit_Sayisi,Tum_Kaynaklar
40.0,60.0,6.0,12.0,9.8987,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8987, D=0.02811"
40.0,60.0,6.0,15.0,9.8446,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8446, D=0.02857"
40.0,60.0,6.0,18.0,9.7275,0.02917,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7275, D=0.02917"
40.0,60.0,6.0,21.0,9.7424,0.02998,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7424, D=0.02998"
40.0,60.0,8.0,12.0,6.0172,0.01173,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.0172, D=0.01173 | L_braket_6(1).csv: S=6.0172, D=0.01173"
40.0,60.0,8.0,15.0,5.9697,0.01194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.9697, D=0.01194"
40.0,60.0,8.0,18.0,6.2528,0.01222,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.2528, D=0.01222 | L_braket_6(1).csv: S=6.2528, D=0.01222"
40.0,60.0,8.0,21.0,6.0799,0.01259,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0799, D=0.01259"
40.0,60.0,8.0,24.0,6.2679,0.01307,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.2679, D=0.01307"
40.0,60.0,10.0,12.0,3.9888,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9888, D=0.005947"
40.0,60.0,10.0,15.0,3.9959,0.006068,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9959, D=0.006068"
40.0,60.0,10.0,18.0,3.9539,0.006225,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9539, D=0.006225"
40.0,60.0,10.0,21.0,3.9274,0.006432,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9274, D=0.006432"
40.0,60.0,12.0,12.0,2.839,0.03407,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.839, D=0.03407"
40.0,60.0,12.0,18.0,2.7836,0.03581,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7836, D=0.03581"
40.0,60.0,12.0,24.0,2.83,0.03883,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.83, D=0.03883"
40.0,75.0,4.0,12.0,22.933,0.0964,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.933, D=0.0964"
40.0,75.0,4.0,15.0,22.718,0.09778,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.718, D=0.09778"
40.0,75.0,4.0,18.0,22.698,0.09966,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.698, D=0.09966"
40.0,75.0,4.0,21.0,22.61,0.10207,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.61, D=0.10207"
40.0,75.0,6.0,12.0,9.8741,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8741, D=0.0281"
40.0,75.0,6.0,15.0,9.8157,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8157, D=0.02857"
40.0,75.0,6.0,18.0,9.8053,0.02919,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8053, D=0.02919"
40.0,75.0,6.0,21.0,9.7259,0.02998,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7259, D=0.02998"
40.0,75.0,8.0,12.0,6.2505,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.2505, D=0.01173"
40.0,75.0,8.0,15.0,6.0255,0.01194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0255, D=0.01194"
40.0,75.0,8.0,18.0,6.0468,0.01223,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0468, D=0.01223"
40.0,75.0,8.0,21.0,5.9551,0.0126,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.9551, D=0.0126"
40.0,75.0,10.0,12.0,3.9848,0.005946,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9848, D=0.005946"
40.0,75.0,10.0,15.0,4.1279,0.006064,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.1279, D=0.006064"
40.0,75.0,10.0,18.0,3.9722,0.006222,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9722, D=0.006222"
40.0,75.0,10.0,21.0,3.9535,0.006431,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9535, D=0.006431"
40.0,90.0,4.0,12.0,22.706,0.09638,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.706, D=0.09638"
40.0,90.0,4.0,18.0,22.638,0.09965,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.638, D=0.09965"
40.0,90.0,4.0,24.0,22.429,0.10525999999999999,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.429, D=0.10525999999999999"
40.0,90.0,8.0,12.0,6.0367,0.01173,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0367, D=0.01173"
40.0,90.0,8.0,18.0,6.173,0.01222,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.173, D=0.01222"
40.0,90.0,8.0,24.0,5.9871,0.01307,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=5.9871, D=0.01307"
40.0,90.0,12.0,12.0,2.8972,0.03405,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8972, D=0.03405"
40.0,90.0,12.0,18.0,2.8367,0.03585,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8367, D=0.03585"
40.0,90.0,12.0,24.0,2.8803,0.03882,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8803, D=0.03882"
60.0,30.0,4.0,12.0,23.013,0.09645,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=23.013, D=0.09645"
60.0,30.0,4.0,15.0,22.819,0.09779,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.819, D=0.09779"
60.0,30.0,4.0,18.0,22.686,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.686, D=0.0996"
60.0,30.0,4.0,21.0,22.477,0.10204,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.477, D=0.10204"
60.0,30.0,6.0,12.0,9.9994,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9994, D=0.02811"
60.0,30.0,6.0,15.0,9.8001,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8001, D=0.02857"
60.0,30.0,6.0,18.0,9.8032,0.02919,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8032, D=0.02919"
60.0,30.0,6.0,21.0,9.7222,0.02999,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7222, D=0.02999"
60.0,30.0,8.0,12.0,6.1109,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1109, D=0.01172"
60.0,30.0,8.0,15.0,6.0156,0.01193,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0156, D=0.01193"
60.0,30.0,8.0,18.0,6.0949,0.01222,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0949, D=0.01222"
60.0,30.0,8.0,21.0,5.8024,0.01259,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.8024, D=0.01259"
60.0,30.0,10.0,12.0,4.0689,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0689, D=0.005947"
60.0,30.0,10.0,15.0,4.0349,0.006068,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0349, D=0.006068"
60.0,30.0,10.0,18.0,4.0709,0.006225,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0709, D=0.006225"
60.0,30.0,10.0,21.0,3.8899,0.006432,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.8899, D=0.006432"
60.0,45.0,4.0,12.0,22.92,0.09639,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.92, D=0.09639"
60.0,45.0,4.0,15.0,22.691,0.09775,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.691, D=0.09775"
60.0,45.0,4.0,18.0,22.598,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.598, D=0.0996"
60.0,45.0,4.0,21.0,22.488,0.10202,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.488, D=0.10202"
60.0,45.0,6.0,12.0,9.9226,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9226, D=0.0281"
